gamlā   m/f    masc-sing, masc-pl, insert(pl: ān: masc-pl), insert(pl: aw: fem-pl)
gensā   m   masc-sing, insert(pl: ān: masc-pl)
gannṯā    f   fem-sing, masc-pl, insert(pl: ān: masc-pl), add(emph-pl: as), add(emph-pl: ’s), add(emph-pl: ānēs)
gfettā    f   irr(sing: [gefnā: gefnaṯ: gfettā]), irr(pl: [gufnin: gufnay: gufnē])
griṣtā    f   fem-sing, fem-pl, masc-pl
debborṯā    f   fem-sing, insert(pl: y: fem-pl)
dabbāštā    f   fem-sing, masc-pl
dāḏā    m   masc-sing, masc-pl, insert(pl: ān: masc-pl)
dukkṯā    f   fem-sing, insert(pl: y: fem-pl), insert(pl: aw: fem-pl)
dunbā   m/f    masc-sing, irr(sing: [dnov: dnov: dunbā]), masc-pl, fem-pl, insert(pl: y: fem-pl)
du‘tā   f   fem-sing
dayrā   m/f    masc-sing, masc-pl, fem-pl, insert(pl: aw: fem-pl)
delpinā   m   masc-sing, masc-pl, add(emph-pl: as)
dem‘ṯā    f   fem-sing, masc-pl
dannā   m   masc-sing, masc-pl, fem-pl
dafnā   f   irr(sing: [dfen: dfen: dafnā]), masc-pl, fem-pl
dptrā   m   masc-sing, masc-pl, add(emph-pl: ’s)
darguštā    f   fem-sing, fem-pl, insert(pl: y: fem-pl)
drāmā   m   masc-sing, masc-pl, add(emph-pl: āṭā)
dārtā   f   fem-sing, masc-pl, fem-pl
dāṯā    f   masc-sing, masc-pl
habbṯā    f   fem-sing, masc-pl
hulā    f   irr(emph-pl: hulē), add(emph-pl: os), add(emph-pl: ’s), masc-pl
huparkyā    f   masc-sing, irr(emph-pl: huparkos), add(emph-pl: ’s), add(emph-pl: s)
hawṯā   f   fem-sing, fem-pl, masc-pl
wēylā   f/m   add(emph-pl: as), masc-pl
wēlā   f/m   add(emph-pl: as), masc-pl
wē’lā   f/m   add(emph-pl: as), masc-pl
zaw‘ā   m   masc-sing, masc-pl, insert(pl: ān: masc-pl)
zwārā   m   masc-sing, masc-pl, fem-pl
znā   m   masc-sing, irr(pl: [znin: znay: znayyā])
zaqqartā    f   fem-sing, fem-pl(emph-pl), insert(emph-pl: y: fem-pl)
zeqṯā   m/f    masc-sing, masc-pl
zar‘ā   m   masc-sing, fem-pl, masc-pl, insert(pl: y: fem-pl)
zartā   m/f   masc-sing, masc-pl(fem-stem)
ḥē’fay    m/f   all-forms
ḥavšuštā    f   fem-sing, masc-pl, insert(pl: y: fem-pl)
ḥaḏyā   m   irr(sing: [ḥḏē: ḥḏē: ḥaḏyā]), irr(pl: [ḥḏin: ḥḏay: ḥḏāyē]), irr(pl: [ḥḏawwān: ḥḏawwāṯ: ḥḏawwāṯā])
ḥuggtā    f   fem-sing, fem-pl, insert(pl: y: fem-pl)
